區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
北屯區,0,113.57,5,有,780,0.247057159
太平區,43,93.66,9,無,830,0.514398973
中區,0,71.25,4,無,540,0.541159115
西區,0,220.77,8,有,2020,0.124296538
南區,15,132.3,7,有,800,0.818998268
北區,31,91.74,4,無,436,0.067718046
南屯區,1,274.89,10,無,3128,0.640393884
南屯區,1,319.68,7,有,3148,0.649664026
北屯區,22,212.6,7,無,1088,0.276346863
北屯區,0,123.52,5,有,785,0.328283573
北區,1,296.51,9,有,2327,0.472706344
太平區,0,153.09,7,有,820,0.056015456
大肚區,0,91.21,5,有,450,0.114066628
西屯區,13,124.05,5,有,860,0.395321051
西區,26,173.46,8,有,940,0.812290278
東區,29,94.69,6,無,590,0.413320305
北屯區,26,92.83,5,有,565,0.170256796
北區,40,119.58,6,無,505,0.020545384
潭子區,25,224.47,14,無,1850,0.399590292
太平區,0,242.48,12,無,2250,0.095809973
大雅區,25,165.68,10,無,890,0.174246239
北屯區,0,143.87,6,有,786,0.18571277
北屯區,0,124.31,5,有,846,0.990147185
太平區,3,150.03,7,有,750,0.903923393
西屯區,6,218.41,7,有,1580,0.368544442
西區,33,141.97,7,無,220,0.721495534
烏日區,5,306.88,7,有,2230,0.343004992
烏日區,6,121.02,5,有,708,0.26775137
東區,27,118.24,7,無,370,0.72288287
北屯區,5,136.37,7,有,780,0.868322929
北屯區,0,174.16,7,有,1334,0.153981449
西屯區,23,131.51,7,無,586,0.36525845
大肚區,0,146.61,7,有,875,0.418845712
北屯區,26,103.65,7,無,515,0.380755005
西屯區,0,76.89,3,有,798,0.607572769
潭子區,14,178.24,6,有,1000,0.803268428
中區,50,62.27,4,無,320,0.010268986
西區,27,53.93,3,無,315,0.821880348
北屯區,0,161.3,7,有,852,0.373683439
北屯區,0,172.39,7,有,1030,0.728559223
西屯區,0,138.17,5,有,1096,0.2531134
南屯區,26,165.54,8,有,1050,0.198820287
西屯區,5,413.72,13,無,3400,0.08886421
豐原區,12,104.89,4,有,600,0.449746819
南屯區,0,89.48,3,有,713,0.550427805
北屯區,24,36.64,3,無,184,0.012813255
西屯區,26,55.1,3,無,200,0.447210098
后里區,33,295.23,18,無,14100,0.841274573
大里區,0,106.29,5,有,492,0.579148012
西屯區,25,31.27,3,無,162,0.732560899
烏日區,43,112.28,10,無,780,0.357511988
北屯區,19,300.05,13,無,1700,0.878048074
南屯區,26,135.79,7,無,860,0.722983637
北屯區,5,201.88,7,有,1309,0.390545277
